"Timestamp","I confirm that I am 18 or over and agree to take part in this anonymous prototype evaluation.","I have completed the prototype tasks above.","The PulsePet homepage clearly explained the purpose of the system.","The registration/login process was easy to understand.","Strongly Disagree The chat interface was easy to use.","PulsePet successfully remembered a preference I gave it.","PulsePet was able to recall stored information correctly.","The memory feature made the interaction feel more personal.","The AI-generated responses felt natural enough for a prototype.","The Clear Chat and Clear Memory controls were easy to understand.","I felt that I had appropriate control over stored chat and memory data.","Unity avatar below helped me understand how PulsePet could become an embodied companion.","Overall, PulsePet successfully demonstrates the idea of a memory-driven AI companion.","I would be interested in seeing a more developed version of PulsePet.","What worked well in the PulsePet prototype?","What would you improve in a future version?","What was confusing or difficult to use?","Did the memory feature make the system feel more personal? Why or why not?","Any other comments?"
"2026/05/13 12:22:23 AM GMT+1","Yes, I agree to take part.","Yes, I have completed the prototype tasks.","5","5","5","5","5","4","5","5","5","4","5","5","The core memory mechanic worked flawlessly. The transition from telling PulsePet a fact (""I like basketball"") to having it successfully recalled later was seamless. Additionally, the user interface is incredibly clean and intuitive. Having distinct, highly visible buttons for ""Clear Chat"" and ""Clear Memory"" is a fantastic design choice that gives the user immediate confidence and control over their data.","I would love to see the memory feature integrated more organically into casual conversation. Right now, it works great as a direct query (""What do I like?""), but it would be amazing if the AI proactively used that information. For example, if I ask for a joke after telling it I like basketball, it would be cool if it spontaneously generated a basketball-themed joke without me having to ask for one specifically. Also, integrating the chat interface directly alongside the animated Unity avatar would really bring the companion aspect to life.","Honestly, nothing was difficult to use—the minimalist UI is perfect for a prototype and keeps the focus on the functionality. If I had to nitpick, it might be helpful to have a small visual indicator (like a little save icon or a subtle flash) that pops up when PulsePet actively commits something to its long-term memory, just to distinguish it from a standard conversational response.","Yes, definitely. Most standard chatbots feel like you are interacting with a blank slate every time you talk to them. Because PulsePet can hold onto a specific user preference and bring it up later, it bridges the gap between a generic search tool and an actual ""companion."" It creates a sense of continuity and makes the user feel listened to.","Great job on the prototype, and good luck with the rest of your dissertation write-up! The foundation you've built is incredibly solid. The combination of persistent memory with strict, user-facing data controls (like the clear memory button) is highly relevant to current discussions in AI ethics and HCI. You've demonstrated the concept perfectly!"
"2026/05/13 12:35:34 AM GMT+1","Yes, I agree to take part.","Yes, I have completed the prototype tasks.","4","5","5","5","5","3","4","5","5","3","4","4","The explicit memory recall worked perfectly. The database integration is fast and the logic for the ""Clear Memory"" state change triggers correctly.","The LLM integration feels a bit too rigid right now. It would be better if it used dynamic context injection so the AI naturally brings up my preferences without me having to specifically ask ""what do I like?"".","The avatar feels a bit disconnected since it's just a static image at the end rather than being part of the chat UI.","","Solid MVP. Good luck with the data analysis!"
"2026/05/13 12:37:55 AM GMT+1","Yes, I agree to take part.","Yes, I have completed the prototype tasks.","5","5","5","5","5","5","5","4","5","5","5","5","The blue avatar is ADORABLE! I also really loved that it actually remembered my favorite sport when I asked. It felt like a magic trick.","Add voice chat! I want to be able to talk to it out loud and have it talk back.","","Yes! It felt way more like talking to a little friend rather than just typing into a search engine.",""
"2026/05/13 12:39:17 AM GMT+1","Yes, I agree to take part.","Yes, I have completed the prototype tasks.","4","4","5","5","5","4","4","4","4","4","4","4","Clean interface. The memory function worked exactly as described.","Better graphics and maybe more conversation topics.","","",""
"2026/05/13 12:42:07 AM GMT+1","Yes, I agree to take part.","Yes, I have completed the prototype tasks.","5","4","5","5","5","4","4","5","5","3","5","4","I really appreciated the prominent ""Clear Memory"" button. Being completely transparent about user data and giving the user an immediate way to delete their history is excellent design.","It would be nice to have a ""View Memory"" button so I can see exactly what facts the AI has stored in a list format before I decide to delete them.","Nothing confusing, it was very straightforward to navigate.","Yes, but the fact that I had control over it is what I valued most. If it remembered things without my permission, it would feel invasive.","You made some really good ethical design choices for an AI companion. Great project!"
"2026/05/13 12:50:15 AM GMT+1","Yes, I agree to take part.","Yes, I have completed the prototype tasks.","4","5","4","5","5","3","3","5","4","4","4","3","Fast load times. Simple UI. Did what it said it would do.","Needs a dark mode and a mobile app.","","It was fine.",""
"2026/05/13 12:52:08 AM GMT+1","Yes, I agree to take part.","Yes, I have completed the prototype tasks.","4","5","5","5","5","5","5","4","4","3","5","5","The writing on the screen was nice and clear, and I didn't get lost clicking around. It was very polite when I asked it for a joke.","I wasn't entirely sure what ""Unity avatar"" meant, maybe explain that simpler for people like me!","","Yes, it was lovely that it remembered my favorite color when I asked it later.","Best of luck with your school project!"
"2026/05/13 12:53:40 AM GMT+1","Yes, I agree to take part.","Yes, I have completed the prototype tasks.","5","5","5","5","5","4","4","5","5","5","5","5","The memory tracking is solid and the latency on the chat responses was really good for a prototype.","The text chat is okay, but I really want to see that Unity avatar animated. If it could react with facial expressions when I tell it things, that would be next level.","Nothing.","","Can't wait to see this ported to Meta Quest or another VR headset."
"2026/05/13 12:57:05 AM GMT+1","Yes, I agree to take part.","Yes, I have completed the prototype tasks.","4","5","5","5","5","4","4","5","5","4","5","5","The color coding on the ""Clear Chat"" (blue) vs ""Clear Memory"" (red) buttons is a great affordance that prevents accidental data deletion.","Add some active typing indicators (like ""PulsePet is typing..."") to make the AI feel more ""alive"" while waiting for the LLM response.","The typo in the survey on question 3 (""Strongly Disagree The chat interface..."") distracted me slightly, but the prototype itself was frictionless.","Yes, bridging session memory is the key to creating a true companion UX.",""
"2026/05/13 1:00:14 AM GMT+1","Yes, I agree to take part.","Yes, I have completed the prototype tasks.","5","5","5","5","5","2","3","5","5","2","4","3","The CRUD operations on the backend clearly work. I saved a variable and retrieved it successfully.","Right now, it just feels like I'm doing SQL queries through a chat window. It needs to proactively synthesize the memories, not just parrot them back to me when I prompt it.","","Not really. It just felt like a script saving a string.",""
"2026/05/13 1:02:40 AM GMT+1","Yes, I agree to take part.","Yes, I have completed the prototype tasks.","5","5","5","5","5","5","5","4","5","5","5","5","Everything! I loved teaching it things about myself. It feels so much more special than talking to regular ChatGPT because it actually cares about my likes and dislikes.","I want to be able to name it! ""PulsePet"" is cute, but I'd love to give it its own custom name, and pick the color of the avatar.","I almost clicked clear memory by accident, maybe add an ""Are you sure?"" popup!","100%. It feels like building a real friendship.","Best prototype ever. I want one for real!"
